"","Year","Period","State","State.ANSI","Commodity","b1","b2","Domain1","Value","Domain","Domain_value"
"154",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",3.656," SULFUR =",77501
"155",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.039," TETRACONAZOLE =",120603
"156",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.669," THIOPHANATE METHYL =",102001
"157",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",2.219," THIRAM =",79801
"159",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.113," TRIFLOXYSTROBIN =",129112
"160",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.23," TRIFLUMIZOLE =",128879
"161",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," HERBICIDE",0.024," CARFENTRAZONE ETHYL =",128712
"162",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," HERBICIDE",0.089," FLUMIOXAZIN =",129034
"167",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," HERBICIDE",0.313," OXYFLUORFEN =",111601
"169",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," HERBICIDE",1.202," PENDIMETHALIN =",108501
"171",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.019," ABAMECTIN =",122804
"172",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.297," ACEQUINOCYL =",6329
"173",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.126," ACETAMIPRID =",99050
"174",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.034," AZADIRACHTIN =",121701
"176",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.496," BIFENAZATE =",586
"177",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.109," BIFENTHRIN =",128825
"185",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.067," CHLORANTRANILIPROLE =",90100
"188",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.111," CYANTRANILIPROLE =",90098
"189",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.178," CYFLUMETOFEN =",138831
"190",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.135," ETOXAZOLE =",107091
"192",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.286," FENPROPATHRIN =",127901
"193",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.103," FENPYROXIMATE =",129131
"194",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.085," FLONICAMID =",128016
"195",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.158," FLUPYRADIFURONE =",122304
"197",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.177," HEXYTHIAZOX =",128849
"198",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.515," IMIDACLOPRID =",129099
"199",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",1.991," MALATHION =",57701
"200",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.174," METHOXYFENOZIDE =",121027
"201",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.904," NALED =",34401
"202",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.095," NEEM OIL =",25006
"203",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",5.151," NEEM OIL  CLAR  HYD  =",25007
"204",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.059," NOVALURON =",124002
"205",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.478," PIPERONYL BUTOXIDE =",67501
"207",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.044," PYRETHRINS =",69001
"209",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.067," PYRIPROXYFEN =",129032
"211",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.068," SPINETORAM =",110007
"212",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.093," SPINOSAD =",110003
"213",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.243," SPIROMESIFEN =",24875
"214",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.069," SULFOXAFLOR =",5210
"215",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," INSECTICIDE",0.062," THIAMETHOXAM =",60109
"223",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",244.066," CHLOROPICRIN =",81501
"224",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",83.557," DICHLOROPROPENE =",29001
"225",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",0.112," FLUTRIAFOL =",128940
"228",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",0.161," IRON PHOSPHATE =",34903
"230",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",214.011," METAM POTASSIUM =",39002
"231",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",228.063," METAM SODIUM =",39003
"235",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," OTHER",0.191," REYNOUTRIA SACHALINE =",55809
"237",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.447," AZOXYSTROBIN =",128810
"243",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.54," BLAD =",30006
"244",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.051," BORAX DECAHYDRATE =",11102
"245",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.508," BOSCALID =",128008
"247",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",10.456," CAPTAN =",81301
"250",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.034," CYFLUFENAMID =",555550
"251",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.765," CYPRODINIL =",288202
"252",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.25," DIFENOCONAZOLE =",128847
"253",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",1.163," FENHEXAMID =",90209
"254",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.51," FLUDIOXONIL =",71503
"255",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.224," FLUOPYRAM =",80302
"256",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.361," FLUXAPYROXAD =",138009
"257",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",18.136," FOSETYL AL =",123301
"259",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",1.215," MEFENOXAM =",113502
"261",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.281," MYCLOBUTANIL =",128857
"262",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.625," PENTHIOPYRAD =",90112
"263",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.149," POLYOXIN D ZINC SALT =",230000
"264",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",2.908," POTASSIUM BICARBON  =",73508
"265",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.174," PROPICONAZOLE =",122101
"266",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.317," PYRACLOSTROBIN =",99100
"267",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.883," PYRIMETHANIL =",288201
"268",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.264," QUINOLINE =",55459
"270",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",26.646," SULFUR =",77501
"271",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.058," TETRACONAZOLE =",120603
"272",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",1.041," THIOPHANATE METHYL =",102001
"273",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",5.064," THIRAM =",79801
"275",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.235," TRIFLOXYSTROBIN =",129112
"276",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," FUNGICIDE",0.55," TRIFLUMIZOLE =",128879
"277",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," HERBICIDE",0.074," CARFENTRAZONE ETHYL =",128712
"278",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," HERBICIDE",0.217," FLUMIOXAZIN =",129034
"283",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," HERBICIDE",0.428," OXYFLUORFEN =",111601
"285",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," HERBICIDE",1.84," PENDIMETHALIN =",108501
"287",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.04," ABAMECTIN =",122804
"288",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.47," ACEQUINOCYL =",6329
"289",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.182," ACETAMIPRID =",99050
"290",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.091," AZADIRACHTIN =",121701
"292",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.978," BIFENAZATE =",586
"293",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.346," BIFENTHRIN =",128825
"301",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.119," CHLORANTRANILIPROLE =",90100
"304",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.222," CYANTRANILIPROLE =",90098
"305",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.299," CYFLUMETOFEN =",138831
"306",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.581," ETOXAZOLE =",107091
"308",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.531," FENPROPATHRIN =",127901
"309",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.128," FENPYROXIMATE =",129131
"310",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.161," FLONICAMID =",128016
"311",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.399," FLUPYRADIFURONE =",122304
"313",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.269," HEXYTHIAZOX =",128849
"314",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.793," IMIDACLOPRID =",129099
"315",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",5.571," MALATHION =",57701
"316",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.245," METHOXYFENOZIDE =",121027
"317",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",1.665," NALED =",34401
"318",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.334," NEEM OIL =",25006
"319",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",7.924," NEEM OIL  CLAR  HYD  =",25007
"320",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.192," NOVALURON =",124002
"321",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.884," PIPERONYL BUTOXIDE =",67501
"323",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.074," PYRETHRINS =",69001
"325",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.074," PYRIPROXYFEN =",129032
"327",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.108," SPINETORAM =",110007
"328",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.113," SPINOSAD =",110003
"329",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.307," SPIROMESIFEN =",24875
"330",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.137," SULFOXAFLOR =",5210
"331",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," INSECTICIDE",0.164," THIAMETHOXAM =",60109
"339",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",345.893," CHLOROPICRIN =",81501
"340",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",125.71," DICHLOROPROPENE =",29001
"341",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",0.188," FLUTRIAFOL =",128940
"344",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," OTHER",0.235," IRON PHOSPHATE =",34903
